x,y,cluster
6,45,1
8,33,1
8,34,1
8,35,1
8,36,1
8,37,1
8,38,1
8,39,1
8,40,1
8,41,1
8,42,1
8,43,1
9,32,1
9,33,1
9,34,1
9,35,1
9,36,1
9,37,1
9,38,1
9,39,1
9,40,1
9,41,1
9,42,1
9,43,1
9,44,1
10,30,1
10,31,1
10,32,1
10,33,1
10,34,1
10,35,1
10,36,1
10,37,1
10,38,1
10,39,1
10,40,1
10,41,1
10,42,1
10,43,1
10,44,1
10,45,1
11,29,1
11,30,1
11,31,1
11,32,1
11,33,1
11,34,1
11,35,1
11,36,1
11,37,1
11,38,1
11,39,1
11,40,1
11,41,1
11,42,1
11,43,1
11,44,1
11,45,1
12,29,1
12,30,1
12,31,1
12,32,1
12,33,1
12,34,1
12,35,1
12,36,1
12,37,1
12,38,1
12,39,1
12,40,1
12,41,1
12,42,1
12,43,1
12,44,1
12,45,1
12,46,1
13,28,1
13,29,1
13,30,1
13,31,1
13,32,1
13,33,1
13,34,1
13,35,1
13,36,1
13,37,1
13,38,1
13,39,1
13,40,1
13,41,1
13,42,1
13,43,1
13,44,1
13,45,1
13,46,1
14,28,1
14,29,1
14,30,1
14,31,1
14,32,1
14,33,1
14,34,1
14,35,1
14,36,1
14,37,1
14,38,1
14,39,1
14,40,1
14,41,1
14,42,1
14,43,1
14,44,1
14,45,1
14,46,1
14,47,1
15,28,1
15,29,1
15,30,1
15,31,1
15,32,1
15,33,1
15,34,1
15,35,1
15,36,1
15,37,1
15,38,1
15,39,1
15,40,1
15,41,1
15,42,1
15,43,1
15,44,1
15,45,1
15,46,1
15,47,1
16,28,1
16,29,1
16,30,1
16,31,1
16,32,1
16,33,1
16,34,1
16,35,1
16,36,1
16,41,1
16,42,1
16,43,1
16,44,1
16,45,1
16,46,1
17,28,1
17,29,1
17,30,1
17,31,1
17,32,1
17,33,1
17,44,1
17,45,1
17,46,1
18,29,1
18,30,1
